"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Bradley Blackshire",24.9352617461543,"30","Black","Male","https://www.fatalencounters.org/wp-content/uploads/2019/02/Bradley-Blackshire.png","2019-02-22","Little Rock Police Department","Gunshot","Officer Charles Starks was on patrol shortly after 11 a.m. when he located a vehicle flagged as stolen in a parking lot, police said. When Starks stopped the vehicle, the driver, Bradley Blackshire, refused Starks' direction to get out. Blackshire stopped the vehicle but then reportedly accelerated and hit Starks, who shot and killed Blackshire.","Justified by outside agency","No known charges","No","Vehicle","vehicle","attack","Car","Yes",72204,"Little Rock","AR",34.729159,-92.34019,"https://www.arkansasonline.com/news/2019/feb/24/lawman-driver-id-d-in-traffic-stop-shoo/?crime"
"Bradley King",14.7902090562457,"29","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/BradleyKing.jpg","2016-11-29","Hendricks County Sheriff's Office","Gunshot","King, who suffered from mental illness, called police several times, and when they arrived, he met them with a knife and was shot and killed.","Justified by Prosecutor","No known charges","Yes","Allegedly Armed","knife","other","Not fleeing","No",46123,"Avon","IN",39.764436,-86.39699,"http://www.theindychannel.com/news/crime/one-dead-in-officer-involved-shooting-in-hendricks-county"
"Bradley Michael Olsen",1.38629436111989,"30","White","Male","","2021-04-18","Burnsville Police Department","Gunshot","Officers encountered a person driving a car with stolen plates, which crashed. A short time after, the individual allegedly stole a different vehicle, and a pursuit began. Officers claim the suspect fired at them repeatedly during the pursuit, and eventually crashed the second vehicle. Officers returned fire, killing the person.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","car","",55337,"Burnsville","MN",44.770297,-93.27302,"https://www.startribune.com/burnsville-police-exchange-gunfire-with-carjacking-suspect-who-was-killed/600047474/"
"Bradley Pugh",5.14166355650266,"41","White","Male","https://fatalencounters.org/wp-content/uploads/2020/12/Bradley-Pugh.jpg","2020-10-17","Huntsville Police Department","Gunshot","Police encountered Bradley Pugh around 10 p.m. when they were called to investigate a person with a gun on the roof of Ted's Bar-B-Q. After several hours of negotiation, Pugh agreed to come down a ladder. Police reportedly thought the man was surrendering, but instead he ran and pointed a gun at officers who shot and killed him.","Pending investigation","No known charges","Yes","Allegedly armed","gun","attack","not fleeing","No",35801,"Huntsville","AL",34.72879,-86.57316,"https://www.al.com/news/2020/11/coroner-identifies-man-killed-in-standoff-with-huntsville-police.html"
"Bradley Wilson",8.00436556497957,"30","White","Male","http://bloximages.chicago2.vip.townnews.com/idahostatejournal.com/content/tncms/assets/v3/editorial/f/fa/ffa212dc-8ed3-11e2-9055-001a4bcf887a/5145703acbb4b.image.jpg","2013-03-14","Bannock County Sheriff's Department","Gunshot","Wilson had taken an 18-year-old male high school student hostage after walking into Petco with a handgun. It was reported at the scene that one fatal shot was fired by the Bannock County Sheriff's sergeant and it hit Wilson in the neck ending an episode that began about 8 p.m.","Justified","No known charges","Drug or alcohol use","Allegedly Armed","gun","","","",83202,"Pocatello","ID",42.96866,-112.43182,"http://www.idahostatejournal.com/members/prosecutor-clears-officer-probe-reveals-deadly-shooting-of-petco-hostage/article_c8c092ce-eab9-11e2-a90b-001a4bcf887a.html"
"Brandan Reid Nylander",5.94803498918065,"24","White","Male","https://fatalencounters.org/wp-content/uploads/2020/04/Brandan-Reid-Nylander.jpg","2020-04-24","Napa County Sheriff's Office","Gunshot","Brandan Reid Nylander reportedly stole ammunition from the Napa Walmart around 2 p.m. Deputies spotted Nylander's vehicle a short time later on Highway 29 and chased it. Nylander drove toward the Napa County Airport but stopped at a locked gate at the facility. He reportedly stepped out of his vehicle with a firearm and was shot and killed by a deputy.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","Car","No",94558,"Napa","CA",38.337243,-122.30027,"https://www.kron4.com/news/bay-area/1-dead-following-officer-involved-shooting-near-napa-county-airport/"
"Brandeis Codde",5.74300318780948,"19","Unknown Race","Male","","2020-06-21","Milpitas Police Department","Gunshot, Taser","Around 1 p.m., officers responded to a call of a stabbing at an apartment, where a 19-year-old man used a kitchen knife to stab his 34-year-old stepfather. An arriving officer saw the teenager outside the apartment still armed with the knife and tried to engage him. The man did not comply with orders to disarm and began to walk away as a second officer arrived. The second officer deployed a Taser which did not incapacitate him. The first officer then shot and killed him, while he allegedly charged the officer.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",95035,"Milpitas","CA",37.436451,-121.89438,"https://www.mercurynews.com/2020/06/21/police-milpitas-officer-fatally-shoots-alleged-knife-wielding-man/"
"Brandon Bell",250.708440896653,"17","Black","Male","","2019-09-12","Houston Police Department","Gunshot","Brandon Bell was shot and killed during an alleged crime spree involving assaults, carjackings and burglaries with three other people.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",77021,"Houston","TX",29.695879,-95.3573,"https://abc13.com/teen-who-shot-hpd-officer-was-out-on-bond-police/5536540/"
"Brandon Evans",31.2334693062819,"33","White","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Brandon-G.-Evans.jpg","2020-10-24","Lawrenceburg Police Department","Gunshot","When officers arrived on scene, they found Evans naked and allegedly holding a knife. An officer shot Evans who was pronounced dead at the scene.","Pending investigation","No known charges","No","Allegedly Armed","knife","attack","Not Fleeing","No",47025,"Lawrenceburg","IN",39.129059,-84.85887,"https://www.fox19.com/2020/10/24/indiana-state-police-investigate-officer-involved-shooting-lawrenceburg/"
"Brandon Gardner",11.6812833147468,"24","Black","Male","","2020-06-16","Lake County Sheriff’s Office","Gunshot","Brandon Gardner was wanted in connection with a 2018 murder. Officers shot and killed him when officers attempted to arrest him. He allegedly opened fire as officers approached the Beach Park home.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",60099,"Zion","IL",42.451371,-87.84862,"https://wgem.com/2020/06/16/a-suspect-in-2018-shooting-killed-in-standoff-with-police/"
"Brandon Johnson",83.5907804031085,"28","Black","Male","http://www.killedbypolice.net/victims/150892.jpg","2015-09-30","West Virginia State Police","Gunshot","Johnson allegedly killed a former co-worker in Georgia and then drove 500 miles before police shot him in West Virginia, according to authorities. Police said Johnson got out of his car with a gun pointed at officers when they opened fire.","Unreported","No known charges","No","Allegedly Armed","gun","attack","Car","No",25801,"Beckley","WV",37.79064,-81.19958,"http://www.wowktv.com/story/30144266/wv-turnpike-shut-down-following-shots-fired-near-north-beckley"
"Brandon Joyner",73.9034863464766,"24","Black","Male","https://www.fatalencounters.org/wp-content/uploads/2018/09/brandonjoyner.jpg","2018-09-09","Greenville Police Department","Gunshot","Police responded to reports of a fight with shots fired around 1:30 a.m. Police found a man shooting into a crowd in an alley behind Sup Dogs. Three officers exchanged fire with Brandon Joyner, who was killed. Two others were injured, one seriously.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",27858,"Greenville","NC",35.579216,-77.33836,"https://www.wral.com/greenville-police-suspect-killed-in-officer-involved-shooting/17831138/"
"Brandon Kuhlman",6.80903930604298,"28","White","Male","http://www.fatalencounters.org/wp-content/uploads/2018/03/BrandonKuhlman.jpg","2018-03-05","Sandpoint Police Department","Gunshot","Officers were called to a residence in Ridley Village at 3:10 a.m. They spoke with the reporting party and while speaking with the reporting party, a person stepped out and began firing at officers. Officers Michael Hutter and Eric Clark were hit, and Brandon Kuhlman was shot and killed.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",83864,"Sandpoint","ID",48.362033,-116.55101,"http://www.khq.com/story/37646989/sandpoint-police-identify-officers-suspect-involved-in-shooting"
"Brandon Lawrence",7.70300768247924,"25","White","Male","https://www.victoriaadvocate.com/news/2015/apr/27/parents-of-veteran-fatally-shot-by-police-seek-ans/","2015-04-25","Victoria Police Department","Gunshot","The shooting happened after officers were confronted by a suspect with a weapon","Unreported","No known charges","Yes","Allegedly Armed","machete","other","Not fleeing","Yes",77904,"Victoria","TX",28.873664,-97.00715,"https://www.victoriaadvocate.com/news/2015/apr/27/parents-of-veteran-fatally-shot-by-police-seek-ans/"
"Brandon Lee Flowers",64.4936464729591,"41","White","Male","","2017-10-29","New Castle Police Department","Gunshot","New Castle Police responded to neighbors' reports of a man chasing a woman with a large knife. When police arrived, they confronted Flowers, who was standing over a female victim on the ground. Police said Flowers continued to stab the woman in the neck, and police shot and killed him. He died on November 7.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",47362,"New Castle","IN",39.92698,-85.3697,"http://www.thestarpress.com/story/news/local/2017/11/07/new-castle-man-shot-police-dies-injuries/839250001/"
"Brandon Lewis",262.172450655162,"34","White","Male","","2020-02-16","Harrison County Sheriff's Office","Gunshot","Harrison County Sheriff Nick Smith told WAVE 3 News police in Kentucky chased a stolen black SUV occupied by a male driver, later identified as Brandon Lewis, and a female passenger identified as his wife Alisha Lewis, out of Meade County into Harrison County around 5 p.m. on Feb. 16.

Harrison County Sheriff’s Office deputies, Corydon police and Irvington police assisted in the chase. Brandon Lewis and Alisha Lewis were reported to be armed, and preliminary evidence at the scene near Indiana State Road 135 and Highway 62 revealed they fired at police before officers returned fire.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",47025,"Lawrenceburg","IN",39.129059,-84.85887,"https://www.wave3.com/2020/02/24/suspect-fatal-harrison-co-officer-involved-shooting-dies/"
"Brandon Marshall",93.3468572847901,"43","White","Male","http://extras.mnginteractive.com/live/media/site568/2014/0911/20140911__brandonmarshall~1.JPG","2013-12-10","Santa Clara County Sheriff's Office","Gunshot","While leaving his workplace Marshall, with a history of mental illness and some notoriety as a Silicon Valley whistleblower, ingested medication at a furious pace and began to act erratically. Two deputies approached him from behind. His reaction was to twirl and brandish an object that police described as a ""5-1/2 inch metal spike"" and others describe as a short, rounded aluminum key fob. Fearing for her life, one of the deputies fatally shot Marshall in the stomach. His family has filed a wrongful-death suit.","Unreported","No known charges","Yes","Unclear","undetermined","","","",95070,"Saratoga","CA",37.270543,-122.02305,"http://www.mercurynews.com/scott-herhold/ci_26513302/strange-sad-history-brandon-marshall"
"Brandon Milburn",11.249376499021,"37","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Brandon-Milburn.jpg","2020-11-11","Oklahoma City Police Department","Gunshot","Police chased Brandon Milburn for unspecified reasons. He allegedly got out of his vehicle and exchanged gunfire with police, wounding an officer, and he was shot and killed.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Car","No",73102,"Oklahoma City","OK",35.47156,-97.52036,"https://kfor.com/news/local/brother-identifies-crime-spree-suspect-killed-in-officer-involved-shooting-okc-police-continues-investigation-before-confirming-id/"
"Brandon Simmons",7.4205789054108,"28","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Brandon-Simmons.jpg","2016-10-05","University of Colorado Boulder Police Department, Boulder Police Department","Gunshot","A religious zealot was apparently threatening people with a machete and was shot and killed.","Justified by District Attorney","No known charges","Yes","Allegedly Armed","machete","other","Not fleeing","No",80309,"Boulder","CO",40.087835,-105.373507,"http://www.dailycamera.com/news/boulder/ci_30437065"
"Brandon Smith",103.209348970243,"29","Unknown Race","Male","","2013-04-24","Fort Worth Police Department","Gunshot","Officer responded to a holdup at a Whataburger.The officer chased the fleeing gunman into a nearby residential neighborhood, where they exchanged fire. The officer was shot in the leg, and the suspect was shot multiple times. Both were hospitalized, and Smith died.","Justified","No known charges","No","Allegedly Armed","gun","","","",76112,"Fort Worth","TX",32.744032,-97.21957,"http://www.star-telegram.com/2013/04/24/4799142/fort-worth-police-officer-shot.html?rh=1"
"Brandon Tate Brown",6.99301512293296,"26","Black","Male","","2014-12-15","Philadelphia Police Department","Gunshot","Police claim man was reaching for a loaded handgun when officers opened fire. ""I would like to know why the police, law enforcement, has the right to kill instead of disabling,"" the victim's mother Tanya Dickerson said. ""It has to stop, this is enough already.""","Pending investigation","No known charges","No","Allegedly Armed","gun","","","",19135,"Philadelphia","PA",40.023611,-75.04966,"http://www.nbcphiladelphia.com/news/local/Mayfair-Police-Shooting-285796911.html"
"Brandon Webber",19.2323658751487,"20","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/06/brandon-webber.jpg","2019-06-12","U.S. Marshals Service","Gunshot","Around 7 p.m., U.S. Marshals Service deputies tried to arrest Brandon Webber for undisclosed reasons as he was getting into his car. He alleedly rammed his vehicle into the officers' vehicles before getting out with a weapon. The deputies shot and killed him.","Justified by District Attorney","No known charges","No","Vehicle","vehicle","attack","Foot","No",38127,"Memphis","TN",35.223796,-90.00646,"https://heavy.com/news/2019/06/brandon-webber/"
"Brandon Wimberly",9.26945797645927,"Unknown","Black","Male","","2021-02-12","U.S. Department of Homeland Security","Gunshot","Agents from the U.S. Department of Homeland Security shot and killed a person during an investigation into some sort of financial scheme, allegedly after the man ""brandished"" a weapon.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","","no",33146,"Miami","FL",25.720728,-80.27255,"https://www.miamiherald.com/news/local/community/miami-dade/coral-gables/article249220020.html"
"Brendon Glenn",30.7852874476201,"29","Black","Male","http://www.killedbypolice.net/victims/150402.jpg","2015-05-05","Los Angeles Police Department","Gunshot","The officers attempted to detain Glenn, and an altercation occurred between them. During that fight, Glenn was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","attack","Not fleeing","Yes",90291,"Venice","CA",33.992411,-118.46531,"http://abc7.com/news/man-shot-to-death-by-lapd-in-venice-after-disturbing-the-peace-call/699856/"
"Brent Walls",235.662641667226,"21","White","Male","http://www.fountainsquaremortuary.com/obituaries/uploads/OI444731442_walls%20crop.jpg","2013-08-09","Indianapolis Metropolitan Police Department","Gunshot","Walls was fatally shot by police after a failed carjacking attempt, leading police to track down and shoot the 21-year-old after he pointed a weapon at officers.","Unreported","No known charges","No","Allegedly Armed","gun","","","",46203,"Indianapolis","IN",39.742593,-86.11766,"http://fox59.com/2013/08/09/ex-girlfriend-speaks-out-about-carjacking-suspect-killed-by-police-friday/"
"Breonna Taylor",435.319173588239,"26","Black","Female","https://fatalencounters.org/wp-content/uploads/2020/03/Breonna-Taylor.jpg","2020-03-13","Louisville Metro Police Department","Gunshot","Officers reportedly went to a home for an alleged narcotics investigation around 1 a.m. As officers arrived at the home, police allege Kenneth Walker, Breonna's boyfriend, shot at officers from the home. Police shot and killed Breonna and arrested Kenneth. Subsequent information released on this case found the bullet that hit the officer was not fired by Kenneth.","Charged with 1st degree wanton endangerment","Charged with a crime","No","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","No",40214,"Louisville","KY",38.160936,-85.77624,"https://www.wdrb.com/news/lmpd-investigating-possible-officer-involved-shooting/article_8a8c9eda-64ec-11ea-b353-032ffc9fd65c.html"
"Brett Kelby Noblitt",7.61085279039525,"25","White","Male","http://www.killedbypolice.net/victims/151038.jpg","2015-11-16","Whitfield County Sheriff's Office","Gunshot","Deputies were chasing Noblitt, whom they suspected of driving a stolen car, and shot him when he drove his car toward them, police said.","Justified","No known charges","Unknown","Vehicle","vehicle","other","Car","No",30721,"Dalton","GA",34.780699,-84.93994,"http://www.wdef.com/news/story/Whitfield-Deputy-Fatally-Shoots-Suspect-After-Car/2cVdW_rl30uLVjQAHyWeKw.cspx"
"Brian Baker",26.3564396660806,"33","White","Male","https://www.fatalencounters.org/wp-content/uploads/2018/10/Brian-Baker.jpg","2018-10-01","Orlando Police Department","Gunshot","Orlando police shot and killed Brian Baker, who claimed to have a gun at Orlando Regional Medical Center, police said. Three officers shot Baker when he reportedly reached into his waistband as though he had a gun. Baker was not armed.","Pending investigation/No Known Charges","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","No",32806,"Orlando","FL",28.51483,-81.36054,"https://www.clickorlando.com/news/orlando-police-converge-on-orlando-regional-medical-center"
"Brian Burch",15.3966621581979,"38","Black","Male","","2014-10-24","Cumberland County Sheriff's Office","Gunshot","Authorities say a deputy stopped Burch, and he started cutting at his arms and neck. Investigators say Burch then fought with officers after being shocked with a Taser, and a deputy fired two shots.","Unreported","No known charges","Unknown","Allegedly Armed","knife","","","",28314,"Fayetteville","NC",35.060087,-79.00848,"http://www.fayobserver.com/news/local/man-shot-killed-when-cumberland-county-deputies-try-to-serve/article_f253b5ae-7298-5362-8caf-84520ea48f26.html"
"Brian Calvert",7.14991683613211,"18","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Brian-Calvert.png","2017-11-18","Warren County Sheriff's Office","Gunshot","Brian Calvert was driving a pickup truck and fled after Officer Tim Summer stopped it at 2:51 a.m. Police said Calvert tried to run over a deputy during the pursuit and pointed something at officers before being shot and killed.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Car","No",42170,"Woodburn","KY",36.832502,-86.554,"http://www.kentucky.com/news/local/crime/article185446533.html"
"Brian Cooper",29.5085600708851,"49","Unknown Race","Male","","2020-05-17","Germantown Department Police","Gunshot","Germantown officers were called to a home around 3:21 a.m. for a domestic disturbance. When officers arrived, they found Brian Cooper outside the home with several weapons. Officers ordered him to drop the weapons, and he failed to comply, and police shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","Not fleeing","No",38138,"Germantown","TN",35.088885,-89.80677,"https://wreg.com/news/officer-involved-shooting-in-germantown/"
"Brian Crawford",7.60887062919126,"20","Black","Male","","2015-10-30","Houston Police Department","Gunshot","Thomas Gilliland, of the Harris County Sheriff's Office, said in a news conference Friday that a group of four or five men smashed glass cases and took jewelry and other merchandise from the pawn shop. HPD officers spotted the men behind the shop, leaving the store, Gilliand said. The officers ordered the suspects to drop their weapons, but deputies said they refused. Officers began shooting, killing one man and leaving two more in critical condition, according to Gilliand","Unreported","No known charges","No","Allegedly Armed","unknown weapon","","","",NA,"","",29.7863,-95.3889,"http://www.click2houston.com/news/breaking-3-shot-in-northwest-harris-county-life-flight-on-scene/36144374"
"Brian Day",7.66152708135852,"36","Black","Male","http://www.killedbypolice.net/victims/150662.jpg","2015-07-25","Las Vegas Metropolitan Police Department","Gunshot","After speaking to police who were investigating a beating of one of his neighbors, Day allegedly went into his apartment and returned with a pellet gun, which he used to shoot and injure one of the officers. Two officers returned fire and fatally wounded him, according to authorities.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","toy weapon","attack","Not fleeing","No",89104,"Las Vegas","NV",36.151108,-115.10857,"http://www.reviewjournal.com/news/las-vegas/metro-officer-wounded-suspect-shot-death"
"Brian Deleon",9.22453909137599,"37","Hispanic","Male","","2021-04-20","San Antonio Police Department","Gunshot","Deleon allegedly shot and killed Bobby Borrego. Polie responded to the scene and encountered Deleon. Deleon allegedly fired at police and police returned fire, killing Deleon.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","","no",78214,"San Antonio","TX",29.363335,-98.49049,"https://www.ksat.com/news/local/2021/04/25/medical-examiner-identifies-two-killed-in-south-side-shooting-involving-sapd-officers/"
"Brian Gregory Scott",107.771716356897,"49","Unknown Race","Male","","2021-02-07","Bettendorf Police Department","Gunshot","Officers responded to a domestic disturbance call. Those allegedly involved in the disturbance left before officers arrived. Police received a call around 1:51 a.m. about an occupied suspicious vehicle, and officers found the vehicle and individuals related to the earlier domestic disturbance. A woman left the vehicle and said the driver, a man, threatened to kill her with a handgun. Officers reportedly ordered the man to get out of the vehicle, but he refused to comply and produced a handgun. The officer shot and killed Brian Gregory Scott.","Pending investigation","No known charges","No","Allegedly Armed","gun","other","not fleeing","no",52722,"Bettendorf","IA",41.551883,-90.48975,"https://www.kwqc.com/2021/02/08/investigators-release-name-of-man-fatally-shot-by-bettendorf-officer-sunday/"
"Brian Isaack Clyde",3.2188758248682,"22","White","Male","https://fatalencounters.org/wp-content/uploads/2019/06/Brian-Isaack-Clyde.png","2019-06-17","U.S. Federal Protective Service","Gunshot","Brian Isaack Clyde allegedly opened fire at the Earle Cabell Federal Building in downtown Dallas and was killed after a gunfight with federal police outside the building.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Foot","No",75242,"Dallas","TX",32.767268,-96.777626,"https://dfw.cbslocal.com/2019/06/17/active-shooter-shots-fired-federal-building-dallas/"
"Brian Johnson",129.995101857535,"59","Unknown Race","Male","","2015-07-02","West Virginia State Police Department","Gunshot","Authorities said they shot and killed a man who shot at officers with a crossbow. West Virginia State Police and authorities with the Summers County Sheriff's Department responded to a domestic/hostage situation between a man and a woman on Buck Rub Trail. Police said they received information before arriving that the man may have had the intention of committing “suicide by cop.” Officials said Johnson  refused to drop the crossbow and fired his weapon at officers. Authorities said officers shot and killed Johnson. Authorities said the victim in the domestic/hostage situation did not suffer any significant injuries.","Unreported","No known charges","Yes","Allegedly Armed","crossbow","attack","Not fleeing","No",25976,"Meadow Bridge","WV",37.854735,-80.84199,"http://www.wvva.com/story/29466467/2015/07/02/breaking-news-1-dead-hostage-situation-leads-to-officer-involved-shooting"
"Brian McLeod",47.2018240775963,"25","White","Male","http://tribkcpq.files.wordpress.com/2014/04/brianmcleod2.jpg","2014-03-22","Pierce County Sheriff's Department","Gunshot","McLeod was an Army veteran with heavy combat experience in Afghanistan. Police were called to McLeod's apartment, where he and an Army buddy had been drinking then fighting. McLeod's friend told police McLeod had stabbed him. McLeod came out carrying a shotgun. When he pointed it at police, a deputy opened fire, killing him. McLeod's friends believe he suffered from PTSD. His family requested and was denied a special coroner's inquest.","Justified","No known charges","Drug or alcohol use","Allegedly Armed","gun","","","",98466,"Tacoma","WA",47.230402,-122.53272,"http://www.military.com/daily-news/2014/07/11/prosecutor-fatal-shooting-of-soldier-justified.html"
"Brian Mulkeen",25.3807400064037,"33","White","Male","https://fatalencounters.org/wp-content/uploads/2019/10/brian-mulkeen.jpg","2019-09-29","New York Police Department","Gunshot","Officer Brian Mulkeen, 33, was shot and killed by other NYPD officers while grappling with Antonio Williams, 27, who was then also killed by responding officers, police said. Williams' gun had not discharged a shot.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","","",10466,"Bronx","NY",40.89095,-73.84702,"https://www.nytimes.com/2019/09/30/nyregion/bronx-officer-brian-mulkeen-nypd.html?fbclid=IwAR1c6wFGvlx_gLOh48akcQ1qsJz6Zaco3dZbXTncB5nekEKjwey15Ni9v2s#click=https://t.co/2B5cLmbuyD"
"Brian Newt Beaird",7.56008046502183,"51","White","Male","http://www.trbimg.com/img-53f581cd/turbine/la-1661176-me-1220-corvette-driver-lapd-003-ik-jpg-20140820/550/550x309","2013-12-13","Los Angeles Police Department","Gunshot","Beaird, a National Guard veteran, was pursued by LAPD and other officers during a lengthy high-speed chase that ended in a collision near downtown Los Angeles. The unarmed Beaird stumbled out of the car and was later shot by pursuing officers. Beaird's family won a $5 million civil suit against the city for Beaird's death.","Civil suit/Family awarded money","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","","","",90015,"Los Angeles","CA",34.038993,-118.26516,"http://www.latimes.com/local/crime/la-me-0821-lapd-shooting-settlement-20140821-story.html#page=1"
"Brian P. Fritze",1.09861228866811,"45","White","Male","http://www.gjsentinel.com/images/photos/imgkit_sized/FRITZE_Brian_600x400.jpg","2015-02-10","Garfield County Sheriff's Office","Gunshot","Suspect in domestic violence incident was shot multiple times after a high-speed chase. After stopping and exiting the vehicle, the suspect held a gun to his head, and then headed with the gun toward the highway, after which he was shot multiple times by one or more sheriff's deputies.","Unreported","No known charges","Yes","Allegedly Armed","gun","attack","Car","No",81601,"Glenwood Springs","CO",39.533318,-107.32107,"http://www.gjsentinel.com/news/articles/man-shot--8232near-i708232-had-long-8232rap-sheet"
"Brian Quinones",12.8770969090023,"30","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2019/09/BrianQuinones.jpg","2019-09-07","Edina Police Department, Richfield Police Department","Gunshot","Following a pursuit, officers shot and killed Brian Quinones, who was allegedly armed with a knife.","Justified by District Attorney","No known charges","Unknown","Allegedly Armed","knife","other","Car","No",55423,"Minneapolis","MN",44.877164,-93.28124,"https://www.kare11.com/article/news/local/police-pursuit-ends-in-officer-involved-shooting/89-256a8af9-779a-4af1-bde8-f182f44e6e2a"
"Brian Simonsen",20.7805439317354,"42","White","Male","https://www.fatalencounters.org/wp-content/uploads/2019/03/Brian-Simonsen.jpg","2019-02-12","New York Police Department","Gunshot","Officer Brian Simonsen was fatally shot in a T-Mobile store, and Officer Matthew Gorman was wounded in the leg. Police said the officers were believed to have been shot when other officers arrived at the scene and began shooting. The suspect was taken into custody and reported to be in critical condition, police said. He reportedly had been wielding an imitation gun. Christopher Ransom and Jagger Freeman, who were not police officers, were charged with Simonsen's murder.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","toy weapon","","","",11418,"Richmond Hill","NY",40.698485,-73.83365,"https://www.foxnews.com/us/nypd-officer-shot-in-queens-while-on-duty-police-say"
"Brian Williams",183.029853228222,"37","White","Male","","2021-01-10","Bentonville Police Department","Gunshot","Officers arrived at a domestic disturbance involved a husband, wife, two young children, and the husband's parents. The husband's father was seriously hurt, and medical personnel treated him. Police decided the husband was the aggressor. The wife and children were barricaded in the home with the husband. Police said the man charged the officers with a kitchen knife around 3:37 a.m., and three officers shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","knife","attack","not fleeing","no",72712,"Bentonville","AR",36.362525,-94.23308,"https://katv.com/news/local/investigation-underway-after-bentonville-police-officer-involved-in-shooting"
"Broderick Johnson",15.6687719111606,"21","Black","Male","http://media.cmgdigital.com/shared/img/photos/2014/06/11/ef/41/Chamblee.jpg","2014-06-10","Chamblee Police Department","Gunshot","Johnson entered an AutoZone store and attempted to rob it after tying up workers. A SWAT team was called after a worker was able to escape, and Johnson was fatally shot after ignoring police orders.","Unreported","No known charges","No","Unclear","undetermined","","","",30341,"Atlanta","GA",33.888102,-84.29321,"http://www.11alive.com/story/news/local/chamblee/2014/06/10/chamblee-autozone-robbery/10269415/"
"Bruce K. Pofahl",24.5850853791684,"62","White","Male","https://fatalencounters.org/wp-content/uploads/2021/05/Bruce-K.-Pofahl.jpg","2021-05-01","Green Bay Police Department","Gunshot","About 7:27 p.m., dispatchers received a report of shots fired at the Oneida Casino. Former restaurant employee Bruce K. Pofahl allegedly approached a waiter station and shot and killed 32-year-old Ian J. Simpson and 35-year-old Jacob T. Bartel. Pofahl left the restaurant and shot and wounded 28-year-old Dan Mulligan, another employee. Green Bay police officers encountered Pofahl near the first floor of the parking ramp east of the Radisson. Officers Brian Jordan, Makayla Wolfe, and Ben Snyder shot and killed Pofahl.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","not fleeing","no",54313,"Green Bay","WI",44.564261,-88.10326,"https://www.wbay.com/2021/05/07/officers-who-shot-and-killed-oneida-casino-complex-shooter-identified/"
